Product,Chiplet,Business Line,Product Category,Commercial Model,Launch,FY2027,FY2028,FY2029,FY2030,FY2031,FY2032,FY2027 (ratio),FY2028 (ratio),FY2029 (ratio),FY2030 (ratio),FY2031 (ratio),FY2032 (ratio),FY2027 (ratio),FY2028 (ratio),FY2029 (ratio),FY2030 (ratio),FY2031 (ratio),FY2032 (ratio)
   DGrid chipset die (B2B),Combined,Silicon,Chipsets,Licence / OEM Supply,FY2028,0,0.054,3.15,10.8,27,54,0,30,1750,6000,15000,30000,18000,18000,18000,18000,18000,18000
   S100 / SDV die,S100,Silicon,Chipsets,Licence / OEM Supply,FY2028,0,0.225,0.45,0.9,4.5,13.5,0,50,100,200,1000,3000,45000,45000,45000,45000,45000,45000
   R100 radar-processor die,R100,Silicon,Chipsets,Licence / OEM Supply,FY2028,0,0.075,0.15,0.3,1.5,7.5,0,50,100,200,1000,5000,15000,15000,15000,15000,15000,15000
   4D radar pod,R100,Sensors,Sensor Modules,Product Sales,FY2027,0.075,0.3,0.875,2,4,7.5,30,120,350,800,1600,3000,25000,25000,25000,25000,25000,25000
   Thermal camera,T100,Sensors,Sensor Modules,Product Sales,FY2027,0.2,0.75,2,4.5,9,16,40,150,400,900,1800,3200,50000,50000,50000,50000,50000,50000
   H100 driver-monitor (DMS),H100,Sensors,Sensor Modules,Product Sales,FY2027,0.1,0.4,1.1,2.5,5.5,10,200,800,2200,5000,11000,20000,5000,5000,5000,5000,5000,5000
   AD1 Indoor Autonomy Stack,A100,Systems,Robotics Systems,Product Sales,FY2027,0.08,0.2,4,10,22,42,8,20,400,1000,2200,4200,100000,100000,100000,100000,100000,100000
   AD0 Smart Mirror (360),A100,Systems,Mobility Systems,Product Sales,FY2027,0.05,11,40,90,170,270,10,2200,8000,18000,34000,54000,50000,50000,50000,50000,50000,50000
   AD2 Truck ADAS kit (compute+SW+sensors),A100,Systems,Mobility Systems,Product Sales,FY2027,2.5,6.25,35,100,225,450,100,250,1400,4000,9000,18000,250000,250000,250000,250000,250000,250000
   AD3 Autonomous TaaS (fleet rental),A100,Systems,Mobility Systems,Rental / TaaS,FY2028,0,3.3,6.6,16.5,33,66,0,5,10,25,50,100,6600000,6600000,6600000,6600000,6600000,6600000
   AD1 - AMR Autonomous Mobile Robot (up to 100kg),A100,Systems,Robotics Systems,Product Sales,FY2027,0.06,0.6,1.5,3,6,12,1,10,25,50,100,200,600000,600000,600000,600000,600000,600000
   AD4 Seaport AGV,A100,Systems,Mobility Systems,Product Sales,FY2028,0,0.906,2.265,4.53,6.795,22.65,0,2,5,10,15,50,4530000,4530000,4530000,4530000,4530000,4530000
   AD4 Heavy Transport AGV >5T,A100,Systems,Mobility Systems,Product Sales,FY2028,0,3.5,10.5,28,52.5,105,0,1,3,8,15,30,35000000,35000000,35000000,35000000,35000000,35000000
   AD4 Autonomous AUGV L4,A100,Systems,Mobility Systems,Product Sales,FY2027,0.75,1.5,3.75,7.5,18.75,37.5,1,2,5,10,25,50,7500000,7500000,7500000,7500000,7500000,7500000
   AD4 Defence AUGV,D100,Systems,Robotics Systems,Product Sales,FY2027,0.3,0.6,3,6,12,18,1,2,10,20,40,60,3000000,3000000,3000000,3000000,3000000,3000000
   AD4 Defence D-HUMR,D100,Systems,Robotics Systems,Product Sales,FY2027,1.2,3,4.6,9,17.6,30,6,15,23,45,88,150,2000000,2000000,2000000,2000000,2000000,2000000
   AD4 Agricultural AUGV,A100,Systems,Robotics Systems,Product Sales,FY2027,0.18,0.9,3,9,18,30,3,15,50,150,300,500,600000,600000,600000,600000,600000,600000
   AD4 Airport Patrol AUGV,A100,Systems,Robotics Systems,Product Sales,FY2027,0.08,0.24,1.2,2,4,6,1,3,15,25,50,75,800000,800000,800000,800000,800000,800000
   AD4 Utility AUGV,A100,Systems,Robotics Systems,Product Sales,FY2027,0.12,0.36,1.8,3,6,9,1,3,15,25,50,75,1200000,1200000,1200000,1200000,1200000,1200000
   AD4 Intl Delivery Robovan,A100,Systems,Mobility Systems,Product Sales,FY2027,0.2,0.6,3,5,10,15,1,3,15,25,50,75,2000000,2000000,2000000,2000000,2000000,2000000
   AD4 Food Delivery Robot,A100,Systems,Robotics Systems,Product Sales,FY2027,0.1,0.5,1,2,4,6,1,5,10,20,40,60,1000000,1000000,1000000,1000000,1000000,1000000
   AD4 D100 drone SoC kit,D100,Systems,Compute Hardware,Product Sales,FY2028,0,0.25,2.5,6.25,11.25,20,0,5,50,125,225,400,500000,500000,500000,500000,500000,500000
   A100 compute box 1ch (M.2),A100,Systems,Compute Hardware,Product Sales,FY2028,0,1.598,3.1875,6.375,12.75,25.5,0,188,375,750,1500,3000,85000,85000,85000,85000,85000,85000
   A100 compute box 2ch,A100,Systems,Compute Hardware,Product Sales,FY2028,0,1.808,3.6,7.2,14.4,28.8,0,113,225,450,900,1800,160000,160000,160000,160000,160000,160000
   A100 compute box 4ch (PCIe),A100,Systems,Compute Hardware,Product Sales,FY2028,0,2.25,4.5,9,18,36,0,75,150,300,600,1200,300000,300000,300000,300000,300000,300000
   DGrid AI Software licence (SaaS),T100,Sentience,AI Software / SaaS,SaaS Subscription,FY2029,0,0,2,6,18,50,0,0,2,6,18,50,10000000,10000000,10000000,10000000,10000000,10000000
