Line item,FY2027,FY2028,FY2029,FY2030,FY2031,FY2032,col9
Revenue,1.7,27.816,115.3775,284.655,594.295,1128.45,
Gross profit,0.67525,19.21588,89.6805,231.12215,500.9937,985.9555,Sum of segment revenue x segment GM
  COGS,1.02475,8.60012,25.697,53.53285,93.3013,142.4945,
  R&D (total),0.646,10.29192,41.5359,99.62925,202.0603,372.3885,
     run-rate R&D,0.51,7.23216,25.38305,54.08445,106.9731,203.121,Sustaining SoC2 + software
     SoC4 5nm tape-out program,0.136,3.05976,16.15285,45.5448,95.0872,169.2675,Next-gen 5nm chip for L4/robotaxi horizon
  Sales & Marketing,0.255,4.03332,16.15285,38.428425,77.25835,141.05625,
  G&A,0.17,2.64252,10.383975,24.195675,47.5436,84.63375,
Total operating expense,1.071,16.96776,68.072725,162.25335,326.86225,598.0785,incl. scenario opex delta
EBITDA,-0.39575,2.24812,21.607775,68.8688,174.13145,387.877,Gross profit - operating expense
D&A,0.034,0.55632,2.30755,5.6931,11.8859,22.569,
EBIT,-0.42975,1.6918,19.300225,63.1757,162.24555,365.308,
  Loss carryforward (opening),0,0.42975,0,0,0,0,
  Taxable income (after losses),0,1.26205,19.300225,63.1757,162.24555,365.308,
"Tax (25%, post-carryforward)",0,0.315512500000001,4.82505625000001,15.793925,40.5613875,91.327,
  Loss carryforward (closing),0.42975,0,0,0,0,0,
Net income,-0.42975,1.3762875,14.47516875,47.381775,121.6841625,273.981,
